source_score,topic,matched_slope,matched_effect_max_minus_min
dw,abortion,0.0501779828223918,1.9950173882167432
dw,immigration,0.050156832498017015,1.9909022902691755
dw,social media regulation,0.0504152483909269,2.0
cfs,abortion,0.09988516491014245,3.9990664339855844
cfs,immigration,0.09987215351371535,3.9984607163734434
cfs,social media regulation,0.09984414599455774,3.9972444887094936
bt,abortion,0.0499753875097996,1.9947707073594594
bt,immigration,0.049975554110487236,1.993651162009419
bt,social media regulation,0.05010699439339708,1.9980353692893262
