source_score,topic,matched_slope,matched_effect_max_minus_min
dw,abortion,2.4056581677794457,95.64613013267517
dw,immigration,2.4046441682577133,95.44884203076363
cfs,abortion,20.16864555688466,807.4848105626949
cfs,immigration,20.16601831746452,807.3625050748096
bt,abortion,8.219418130159376,328.0785869717598
bt,immigration,8.219445530861616,327.89445610642434
