source_score,topic,matched_slope_std_delta,matched_effect_max_minus_min_std_delta
dw,abortion,0.14350375799734993,5.705540087024049
dw,immigration,0.14344327029218668,5.693771339322623
cfs,abortion,0.17143192790454126,6.863558459489256
cfs,immigration,0.1714095965725938,6.862518872298221
bt,abortion,0.1543796385834959,6.16207289635747
bt,immigration,0.15438015323191034,6.158614493829164
