source_score,target_score,slope_std_delta,effect_max_minus_min_std_delta
dw,dw,0.1434735141447683,5.699655713173336
dw,cfs,0.011140070496193446,0.4273044220877509
dw,bt,0.027154777498317025,1.0620463038035295
cfs,dw,0.06366324562373873,2.5791721358860733
cfs,cfs,0.17142076223856756,6.863038665893738
cfs,bt,0.07270430072342753,2.9297225012627486
bt,dw,0.06592592389686586,2.6186630636854984
bt,cfs,0.02170697545092596,0.8605548982258471
bt,bt,0.15437989590770312,6.160343695093317
