source_score,target_score,slope,effect_max_minus_min
dw,dw,0.05025244889234446,1.9963382031696502
dw,cfs,0.006492300203718187,0.24902792020193465
dw,bt,0.008813520370513235,0.3447042323797652
cfs,dw,0.022298429198573867,0.9033703308639559
cfs,cfs,0.09990197548420016,3.999697070492757
cfs,bt,0.02359735171792744,0.9508886215853007
bt,dw,0.023090945677715854,0.9172022624422782
bt,cfs,0.012650566366730568,0.5015211297784352
bt,bt,0.05010648153771771,1.999438759880567
